start_time,addresses_count_active,addresses_count_receiver,addresses_count_sender,datetime
1583427600000,9238,6417,4751,2020-03-05 17:00:00
1583431200000,9095,6226,4779,2020-03-05 18:00:00
1583434800000,7710,5085,4489,2020-03-05 19:00:00
1583438400000,7221,4650,4325,2020-03-05 20:00:00
1583442000000,6941,4527,4074,2020-03-05 21:00:00
1583445600000,6750,4427,3922,2020-03-05 22:00:00
1583449200000,6848,4467,3844,2020-03-05 23:00:00
1583452800000,7362,5004,3977,2020-03-06 00:00:00
1583456400000,7862,5269,3997,2020-03-06 01:00:00
1583460000000,12859,9528,5552,2020-03-06 02:00:00
1583463600000,11318,6092,6766,2020-03-06 03:00:00
1583467200000,8456,5817,4030,2020-03-06 04:00:00
1583470800000,9271,6230,4556,2020-03-06 05:00:00
1583474400000,10743,6747,5821,2020-03-06 06:00:00
1583478000000,11193,8199,5160,2020-03-06 07:00:00
1583481600000,14263,10033,6756,2020-03-06 08:00:00
1583485200000,13047,9538,5689,2020-03-06 09:00:00
1583488800000,11104,7734,5474,2020-03-06 10:00:00
1583492400000,10656,7378,5510,2020-03-06 11:00:00
1583496000000,10778,7665,5294,2020-03-06 12:00:00
1583499600000,10759,7598,5468,2020-03-06 13:00:00
1583503200000,11591,8077,5735,2020-03-06 14:00:00
1583506800000,10716,7301,5728,2020-03-06 15:00:00
1583510400000,10194,7130,5156,2020-03-06 16:00:00
1583514000000,9044,6000,5012,2020-03-06 17:00:00
1583517600000,9805,6803,4890,2020-03-06 18:00:00
1583521200000,7970,4971,4855,2020-03-06 19:00:00
1583524800000,7775,5152,4487,2020-03-06 20:00:00
1583528400000,7522,4501,4666,2020-03-06 21:00:00
1583532000000,6364,4167,3794,2020-03-06 22:00:00
1583535600000,7235,4871,3917,2020-03-06 23:00:00
1583539200000,7751,4973,4644,2020-03-07 00:00:00
1583542800000,8261,5472,4405,2020-03-07 01:00:00
1583546400000,12651,9831,5104,2020-03-07 02:00:00
1583550000000,9362,6317,4681,2020-03-07 03:00:00
1583553600000,8754,6165,4252,2020-03-07 04:00:00
1583557200000,9521,6682,4570,2020-03-07 05:00:00
1583560800000,9226,6186,4732,2020-03-07 06:00:00
1583564400000,10850,7927,4811,2020-03-07 07:00:00
1583568000000,12342,8979,5548,2020-03-07 08:00:00
1583571600000,11093,7724,5334,2020-03-07 09:00:00
1583575200000,10763,6665,5798,2020-03-07 10:00:00
1583578800000,9487,6562,4714,2020-03-07 11:00:00
1583582400000,10364,7111,5165,2020-03-07 12:00:00
1583586000000,10364,6722,5656,2020-03-07 13:00:00
1583589600000,10281,7054,5322,2020-03-07 14:00:00
1583593200000,10017,6574,5609,2020-03-07 15:00:00
1583596800000,9658,6677,5061,2020-03-07 16:00:00
1583600400000,9755,6579,5356,2020-03-07 17:00:00
1583604000000,9274,6249,5162,2020-03-07 18:00:00
1583607600000,7207,4735,4204,2020-03-07 19:00:00
1583611200000,7307,4554,4464,2020-03-07 20:00:00
1583614800000,6712,4447,3926,2020-03-07 21:00:00
1583618400000,6526,4209,3890,2020-03-07 22:00:00
1583622000000,6837,4602,3662,2020-03-07 23:00:00
1583625600000,7400,4724,4303,2020-03-08 00:00:00
1583629200000,8061,5654,3994,2020-03-08 01:00:00
1583632800000,11262,8754,4617,2020-03-08 02:00:00
1583636400000,9469,6667,4504,2020-03-08 03:00:00
1583640000000,7459,5042,3792,2020-03-08 04:00:00
1583643600000,8532,5808,4241,2020-03-08 05:00:00
1583647200000,8428,5696,4247,2020-03-08 06:00:00
1583650800000,11091,7820,5365,2020-03-08 07:00:00
1583654400000,11533,8540,4992,2020-03-08 08:00:00
1583658000000,9619,6608,4792,2020-03-08 09:00:00
1583661600000,8853,5830,4644,2020-03-08 10:00:00
1583665200000,8795,6151,4439,2020-03-08 11:00:00
1583668800000,9065,6297,4597,2020-03-08 12:00:00
1583672400000,9113,6294,4720,2020-03-08 13:00:00
1583676000000,10705,7373,5294,2020-03-08 14:00:00
1583679600000,10719,7649,5323,2020-03-08 15:00:00
1583683200000,9887,7197,4890,2020-03-08 16:00:00
1583686800000,11813,8088,6195,2020-03-08 17:00:00
1583690400000,9685,6551,5200,2020-03-08 18:00:00
1583694000000,8690,5758,4917,2020-03-08 19:00:00
1583697600000,7081,4479,4183,2020-03-08 20:00:00
1583701200000,7036,4594,4144,2020-03-08 21:00:00
1583704800000,7224,4734,4050,2020-03-08 22:00:00
1583708400000,7633,5503,3560,2020-03-08 23:00:00
1583712000000,9633,6514,5243,2020-03-09 00:00:00
1583715600000,8629,5948,4280,2020-03-09 01:00:00
1583719200000,13276,10267,5585,2020-03-09 02:00:00
1583722800000,10172,7300,4545,2020-03-09 03:00:00
1583726400000,9882,7253,4322,2020-03-09 04:00:00
1583730000000,11810,8461,5172,2020-03-09 05:00:00
1583733600000,11428,8499,5090,2020-03-09 06:00:00
1583737200000,13202,7500,7600,2020-03-09 07:00:00
1583740800000,11903,8241,5678,2020-03-09 08:00:00
1583744400000,15973,12021,6938,2020-03-09 09:00:00
1583748000000,11937,7306,6711,2020-03-09 10:00:00
1583751600000,10925,7170,5938,2020-03-09 11:00:00
1583755200000,11254,7440,6053,2020-03-09 12:00:00
1583758800000,12721,7044,7866,2020-03-09 13:00:00
1583762400000,11571,7928,5815,2020-03-09 14:00:00
1583766000000,10352,7426,5323,2020-03-09 15:00:00
1583769600000,11413,8084,5815,2020-03-09 16:00:00
1583773200000,12038,7955,6594,2020-03-09 17:00:00
1583776800000,10823,7155,5914,2020-03-09 18:00:00
1583780400000,8743,5833,5049,2020-03-09 19:00:00
1583784000000,8846,5985,4961,2020-03-09 20:00:00
1583787600000,7930,5195,4602,2020-03-09 21:00:00
1583791200000,7160,4633,4220,2020-03-09 22:00:00
1583794800000,7608,4816,4316,2020-03-09 23:00:00
1583798400000,8278,5444,4559,2020-03-10 00:00:00
1583802000000,8186,5525,4167,2020-03-10 01:00:00
1583805600000,10793,8097,4702,2020-03-10 02:00:00
1583809200000,10558,7378,5190,2020-03-10 03:00:00
1583812800000,10395,7486,4544,2020-03-10 04:00:00
1583816400000,10486,7410,4715,2020-03-10 05:00:00
1583820000000,9685,6852,4502,2020-03-10 06:00:00
1583823600000,11734,8607,5219,2020-03-10 07:00:00
1583827200000,13633,9557,6308,2020-03-10 08:00:00
1583830800000,13511,9612,6121,2020-03-10 09:00:00
1583834400000,11259,7460,5885,2020-03-10 10:00:00
1583838000000,12239,8517,5811,2020-03-10 11:00:00
1583841600000,10572,7076,5477,2020-03-10 12:00:00
1583845200000,11522,7864,5829,2020-03-10 13:00:00
1583848800000,11947,8135,6115,2020-03-10 14:00:00
1583852400000,10751,7359,5633,2020-03-10 15:00:00
1583856000000,10041,6641,5490,2020-03-10 16:00:00
1583859600000,9756,6417,5330,2020-03-10 17:00:00
1583863200000,9553,6537,4976,2020-03-10 18:00:00
1583866800000,7827,5016,4625,2020-03-10 19:00:00
1583870400000,7860,4811,4802,2020-03-10 20:00:00
1583874000000,6948,4362,4288,2020-03-10 21:00:00
1583877600000,6615,4328,3908,2020-03-10 22:00:00
1583881200000,7139,4683,3964,2020-03-10 23:00:00
1583884800000,7787,4935,4411,2020-03-11 00:00:00
1583888400000,7930,5229,4202,2020-03-11 01:00:00
1583892000000,11614,8888,4730,2020-03-11 02:00:00
1583895600000,9239,6106,4607,2020-03-11 03:00:00
1583899200000,9308,6066,4549,2020-03-11 04:00:00
1583902800000,8733,5683,4528,2020-03-11 05:00:00
1583906400000,9956,7181,4408,2020-03-11 06:00:00
